,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type,currentprice,movingaverage
1,IMRA,IMARA Inc.,Leonard Braden Michael,10% Owner,"Apr 22, 2022",$1.38,8000,11040,2860000,"Apr 25, 2022, 11:05 AM",buy,1.4371999502182007,2.7980677869584825
2,IMRA,IMARA Inc.,Leonard Braden Michael,10% Owner,"Apr 21, 2022",$1.40,552000,772800,2852000,"Apr 25, 2022, 11:05 AM",buy,1.4371999502182007,2.7980677869584825
3,EYEN,"EYENOVIA, INC.",Grant Stuart M.,10% Owner,"Apr 21, 2022",$2.59,38800,100492,4865924,"Apr 25, 2022, 06:10 AM",buy,2.575000047683716,3.8243611070844863
4,EYEN,"EYENOVIA, INC.",Grant Stuart M.,10% Owner,"Apr 22, 2022",$2.55,20000,51000,4885924,"Apr 25, 2022, 06:10 AM",buy,2.575000047683716,3.8243611070844863
5,TCON,"Tracon Pharmaceuticals, Inc.",THEUER CHARLES,President and CEO,"Apr 21, 2022",$2.30,4500,10350,234518,"Apr 25, 2022, 06:00 AM",buy,2.190000057220459,3.0283055583635967
6,AMWL,American Well Corp,Schlegel Stephen J.,Director,"Sep 17, 2020",$18.00,20000,360000,49938,"Apr 22, 2022, 07:59 PM",buy,3.440000057220459,6.6874444511201645
7,AMWL,American Well Corp,PATRICK DEVAL L,Director,"Sep 17, 2020",$18.00,8000,144000,8000,"Apr 22, 2022, 07:58 PM",buy,3.440000057220459,6.6874444511201645
8,AMWL,American Well Corp,PATRICK DEVAL L,Director,"Sep 17, 2020",$18.00,3000,54000,27772,"Apr 22, 2022, 07:58 PM",buy,3.440000057220459,6.6874444511201645
9,AMWL,American Well Corp,OGrady Brendan P.,See Remarks,"Sep 17, 2020",$18.00,14000,252000,867236,"Apr 22, 2022, 07:56 PM",buy,3.440000057220459,6.6874444511201645
10,AMWL,American Well Corp,Cosgrove Delos M.,Director,"Sep 17, 2020",$18.00,200,3600,30138,"Apr 22, 2022, 07:53 PM",buy,3.440000057220459,6.6874444511201645
11,RUBY,"Rubius Therapeutics, Inc.",Epstein David R,Director,"Apr 21, 2022",$1.44,30000,43329,4720012,"Apr 22, 2022, 06:07 PM",buy,1.774999976158142,11.852416604095035
12,ATAX,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",Wilson Deborah A,Director,"Apr 21, 2022",$18.13,551,9990,3302,"Apr 22, 2022, 05:36 PM",buy,16.979999542236328,19.231611029307047
13,NYC,"New York City REIT, Inc.",SCHORSCH NICHOLAS S,10% Owner,"Apr 21, 2022",$13.18,12500,164734,1168591,"Apr 22, 2022, 05:26 PM",buy,12.3149995803833,9.761283344692654
14,NYC,"New York City REIT, Inc.",SCHORSCH NICHOLAS S,10% Owner,"Apr 22, 2022",$12.77,12500,159625,1181091,"Apr 22, 2022, 05:26 PM",buy,12.3149995803833,9.761283344692654
15,RCAT,"Red Cat Holdings, Inc.",Thompson Jeffrey M,"Chairman of the Board, CEO","Apr 20, 2022",$1.99,4500,8965,12687468,"Apr 22, 2022, 05:10 PM",buy,2.2049999237060547,2.3269166655010647
16,RCAT,"Red Cat Holdings, Inc.",Thompson Jeffrey M,"Chairman of the Board, CEO","Apr 19, 2022",$1.99,1000,1990,12682968,"Apr 22, 2022, 05:10 PM",buy,2.2049999237060547,2.3269166655010647
17,ADVM,"Adverum Biotechnologies, Inc.",Fischer Laurent,"CEO, President and Director","Apr 20, 2022",$1.11,25000,27800,762462,"Apr 22, 2022, 05:00 PM",buy,1.1683000326156616,1.8107961098353067
18,PLPC,PREFORMED LINE PRODUCTS CO,GIBBONS MICHAEL E,Director,"Apr 21, 2022",$63.42,23,1459,7398,"Apr 22, 2022, 05:00 PM",buy,59.5,64.05411116282146
19,MYPS,"PLAYSTUDIOS, Inc.",PASCAL ANDREW S,Chairman and CEO,"Apr 20, 2022",$5.84,10300,60130,294800,"Apr 22, 2022, 04:54 PM",buy,5.505000114440918,4.575638874371847
20,RKT,"Rocket Companies, Inc.",Farner Jay,Chief Executive Officer,"Apr 22, 2022",$8.93,22400,200032,1810707,"Apr 22, 2022, 04:53 PM",buy,9.095000267028809,14.430694468816121
21,RKT,"Rocket Companies, Inc.",Farner Jay,Chief Executive Officer,"Apr 21, 2022",$9.33,21200,197796,1788307,"Apr 22, 2022, 04:53 PM",buy,9.095000267028809,14.430694468816121
